Carimbo de data/hora;Sua idade;Você é estudante?;Você trabalha atualmente?;"Você prefere trabalhar;";Você entrou no seu emprego atual:;Você trabalhava quantas horas semanais antes da quarentena?;Você voltou a trabalhar presencialmente ainda em 2020?;Seu trabalho pode ser realizado normalmente no regime Home Office? Se não, porque?;Como você julga seu desempenho e/ou o desempenho da sua empresa durante o home office:;Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Tarefas diárias];Como você julga a quantidade de tarefas e o número de horas para concluí-las durante o home office obrigatório? [Horas trabalhadas/dia];Você acha que o home office deveria ser mais frequente depois do término da quarentena?;você acha que o home office invadiu a sua privacidade dentro de casa?;"Nos conte um pouco mais, pode ser um texto ou até mesmo uma frase, porque você acha que o home office invadiu sua privacidade? (Responder apenas se você assinalou ""sim"" na questão anterior)"
11/18/2020 15:12:14;46;Não;Sim, no regime home office;Home Office;Presencial;de 45 a 50 horas;Não;Sim;Melhor;igual;igual;Sim, 3 vez por semana;Não;
11/18/2020 16:40:53;27;Sim;Sim, no regime home office;Presencial;Presencial;de 40 a 45 horas;Não;Faço doutorado e parte da minha pesquisa teve de ser completamente readequada para dar conta de tudo, no prazo. E sou professora. Apesar das tecnologias ajudarem, não se comparam ao que os estudantes aprenderiam presencialmente. ;Igual quando presencial;mais;mais;Não;Sim;Meus coordenadores perderam a noção de quando é horário de trabalho e final de semana. Meus alunos passaram a me procurar em várias redes possíveis. E eu mesma perdi o limite nos primeiros meses, pra dar conta de tudo.
11/18/2020 18:25:10;21;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Não, é na área de controle de qualidade de peças de roupas então a distância não funciona. ;Pior;igual;igual;Não;Não;
11/18/2020 18:45:03;45;Não;Sim, presencialmente;Home Office;Presencial;menos de 40 horas;Sim;Sim;Melhor;igual;igual;Sim, todos os dias;Não;
11/18/2020 21:06:24;21;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Não, é na área de controle de qualidade de peças de roupas então a distância não funciona. ;Pior;igual;igual;Não;Não;
11/19/2020 8:28:13;36;Não;Sim, parte presencial e parte home office;Presencial;Presencial;de 45 a 50 horas;Sim;Não pois Sou professora de medicina veterinária, aulas de cirurgia em grandes animais . ;Pior;muito menos;muito menos;Não;Sim;Porque tivemos que improvisar ambientes pra poder dar aula com sim e iluminação adequados que eu não tinha e a ergonomia  ficou muito prejudicada. 
11/19/2020 10:31:00;25;Não;Sim, parte presencial e parte home office;Presencial;Presencial;menos de 40 horas;Sim;Sim, pode ser realizado 100%;Melhor;igual;menos;Sim, 2 vezes por semana;Não;
11/19/2020 10:45:35;24;Não;Sim, no regime home office;Home Office;Home Office;de 40 a 45 horas;Não;Sim;Melhor;igual;igual;Sim, todos os dias;Não;
11/19/2020 10:54:49;20;Sim;Sim, presencialmente;Home Office;Presencial;menos de 40 horas;Sim;Sim ;Igual quando presencial;igual;igual;Sim, 1 vez por semana;Não;
11/19/2020 10:56:23;19;Sim;Sim, parte presencial e parte home office;Presencial;Presencial;de 45 a 50 horas;Sim;Não, lida com separação de materiais;Igual quando presencial;igual;igual;Sim, 2 vezes por semana;Não;
11/19/2020 11:05:31;19;Sim;Sim, no regime home office;Presencial;Presencial;menos de 40 horas;Não;Não, pois muitos dos clientes não tem acesso à tecnologia ;Igual quando presencial;menos;menos;Sim, 2 vezes por semana;Não;Não invadiu 
11/19/2020 11:20:42;20;Sim;Sim, parte presencial e parte home office;Presencial;Presencial;menos de 40 horas;Sim;Sim;Pior;igual;igual;Não;Não;
11/19/2020 11:24:10;20;Sim;Sim, no regime home office;Home Office;Home Office;menos de 40 horas;Não;Sim;Melhor;igual;igual;Sim, 3 vez por semana;Não;
11/19/2020 11:55:46;20;Sim;Sim, no regime home office;Presencial;Presencial;de 40 a 45 horas;Sim;Em partes, o despacho de notas fiscais e controle de estoque sim... ;Pior;muito mais;menos, mais;Não;Não;
11/19/2020 13:39:26;19;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Pq não da;Pior;mais;mais;Sim, 1 vez por semana;Não;
11/19/2020 15:14:20;20;Sim;Sim, presencialmente;Presencial;Presencial;de 40 a 45 horas;Sim;Operacional;Pior;menos;menos;Sim, 2 vezes por semana;Não;
11/30/2020 3:23:17;22;Sim;Sim, presencialmente;Presencial;Presencial;menos de 40 horas;Sim;Parcialmente sim;Igual quando presencial;muito menos;igual;Sim, 2 vezes por semana;Sim;
3/1/2021 19:09:42;18;Sim;Não;Presencial;Home Office;menos de 40 horas;Não;sim;Melhor;mais;menos;Não;Não;
3/1/2021 19:53:00;18;Sim;Não;Presencial;Home Office;menos de 40 horas;Não;sim;Melhor;mais;menos;Não;Não;
